cliente_id,data_compra,Produto,Valor_Médio,prob_180d,comprou_180d,prob_360d,comprou_360d
967203,2023-12-06,6500421906,58312.815599999994,0.5133634756609688,1,0.49979157966098264,1
967203,2024-01-17,6500421906,56203.68709090909,0.702554782850672,1,0.7798164760603237,1
967203,2024-03-06,6500421906,57372.1135,0.7263961081016528,1,0.7835277055149917,1
967203,2024-04-05,6500421906,55659.827999999994,0.7800044180824588,1,0.8430989621082002,1
967203,2024-05-16,6500421906,54192.15471428571,0.7195581110261945,0,0.7777081859745693,0
967503,2023-10-23,405120074,5297.019,0.04241880892276009,0,0.0491789305671263,0
968709,2023-01-06,42701528,66233.7,0.3474739080292662,1,0.3156121816086173,1
968709,2023-01-09,42701528,64104.573000000004,0.9244100866257715,0,0.9096020576374639,0
968712,2023-08-01,406400682,92165.30699999999,0.36959731673335666,1,0.2995503781587901,1
968712,2023-10-06,406400682,93173.184,0.5991684946139662,0,0.5235117214228905,0
968721,2023-04-19,84460358,50851.78800000001,0.24868609030207361,1,0.2817922407509214,1
968721,2023-09-22,84460358,50325.580500000004,0.5914641698000296,1,0.6320593704912836,1
968721,2024-02-09,84460358,63915.13700000001,0.5719278343831904,1,0.6505460353299426,1
968721,2024-06-14,84460358,60308.7225,0.5772355753377052,0,0.6352166202281938,0
969309,2023-02-13,5760261020,4564.677000000001,0.3693541700720524,1,0.43294678122556696,1
969309,2023-05-25,41720158,6805.4025,0.7686420868290084,1,0.8352098295574911,1
969309,2023-06-23,341040074,10332.634,0.6929607987145158,1,0.7581690887373436,1
969309,2023-06-28,5760261020,9228.5115,0.7179704168637312,1,0.7771505030189694,1
969309,2023-10-13,243220158,8552.8092,0.6453083213368299,1,0.6828189382210826,1
969309,2023-12-19,"41720158, 5760261020",9621.053,0.5182214939088612,1,0.5139531727549387,1
969309,2024-01-12,341060074,9642.426857142857,0.7037787810132148,1,0.7925479936969613,1
969309,2024-03-26,41720158,9647.035125,0.7548457040489168,1,0.8156299152534134,1
969309,2024-06-13,5760261020,9278.511666666667,0.7345866732329503,0,0.7924501374072616,0
970209,2023-05-26,5760181338,5423.262,0.09836054182623667,1,0.19082375058850903,1
970209,2023-08-11,82620074,5842.433999999999,0.34955699873963025,1,0.5684399026861039,1
970209,2023-10-25,5760181338,5259.955999999999,0.2777276594839008,0,0.4445893904120901,0
972303,2023-02-01,5768481338,8320.845000000001,0.12472797746860752,0,0.17377197932736957,1
972303,2023-11-06,5768481338,8516.839500000002,0.2683603625776752,1,0.3169474245178807,1
972303,2023-11-07,403981338,7175.246,0.22761527123631956,1,0.26532697623153123,1
972303,2023-11-08,1626461022,6614.60475,0.22956301693942852,0,0.26549843833543896,0
972603,2023-06-01,1920340074,13698.477,0.03738109414159857,1,0.03858265476169239,1
972603,2023-08-09,1920340074,17450.238,0.26150324377709516,1,0.2878497780469537,1
972603,2023-10-13,1923240354,18999.266,0.1640715187008911,1,0.1598176753487193,1
972603,2023-10-24,5771741022,15973.84425,0.1120205545852432,1,0.11337909350003032,1
972603,2024-03-18,5771741022,13647.7926,0.13080575758488192,0,0.15518312741623988,0
972903,2024-03-22,580781532,17219.631,0.06819090870998798,0,0.09382683247085537,0
973203,2023-02-20,"341040074, 1626361022",8067.383999999998,0.28581528821215907,1,0.444818192624475,1
973203,2023-06-27,341040074,7968.343499999999,0.6433357389465081,1,0.799461420828542,1
973203,2023-07-28,241040912,11110.229,0.736994525355803,1,0.8677505067925405,1
973203,2023-08-11,5616140354,10534.28025,0.7081175342185778,1,0.8426824640418542,1
973203,2023-09-28,341040074,9981.886199999999,0.6265567980762508,1,0.7678579449109846,1
973203,2023-11-22,341040074,8966.2105,0.5064269405766684,1,0.6364136065683973,1
973203,2023-12-08,243220152,8233.774714285713,0.4935587614247701,1,0.6070696599500041,1
973203,2024-06-05,"341040074, 5771681532",8468.148,0.6252748027695978,0,0.782279237075773,0
973206,2023-01-23,341040074,15046.629,0.33596942322404133,0,0.5260143288127542,0
973206,2024-01-19,"243220148, 341040074",13858.513500000001,0.719073963157069,0,0.8725334116199588,0
973503,2023-02-10,442040072,27573.975,0.14686285381842326,1,0.23124424563681834,1
